"Ключевое слово","Показов в месяц",Тренды,CPC,Конкуренция
"глина для чистки автомобиля",30,"2024-12: 30, 2025-01: 30, 2025-02: 20, 2025-03: 10, 2025-04: 20, 2025-05: 40, 2025-06: 40, 2025-07: 50, 2025-08: 40, 2025-09: 40, 2025-10: 40, 2025-11: 40, 2025-12: 30",0.02,1.00
"быстрый воск для авто",20,"2024-12: 10, 2025-01: 10, 2025-02: 20, 2025-03: 30, 2025-04: 30, 2025-05: 20, 2025-06: 30, 2025-07: 10, 2025-08: 10, 2025-09: 20, 2025-10: 20, 2025-11: 10, 2025-12: 20",0.00,1.00
"наборы для мойки авто",170,"2024-12: 390, 2025-01: 210, 2025-02: 170, 2025-03: 210, 2025-04: 140, 2025-05: 140, 2025-06: 110, 2025-07: 140, 2025-08: 90, 2025-09: 110, 2025-10: 110, 2025-11: 110, 2025-12: 170",0.10,1.00
"средства для чистки кожаного салона автомобиля",30,"2024-12: 20, 2025-01: 40, 2025-02: 30, 2025-03: 40, 2025-04: 30, 2025-05: 40, 2025-06: 20, 2025-07: 20, 2025-08: 20, 2025-09: 70, 2025-10: 40, 2025-11: 20, 2025-12: 30",0.09,1.00
"очиститель кузова",30,"2024-12: 20, 2025-01: 10, 2025-02: 20, 2025-03: 50, 2025-04: 40, 2025-05: 20, 2025-06: 20, 2025-07: 30, 2025-08: 40, 2025-09: 70, 2025-10: 10, 2025-11: 10, 2025-12: 30",0.09,1.00
"силанты для авто",30,"2024-12: 20, 2025-01: 20, 2025-02: 30, 2025-03: 30, 2025-04: 40, 2025-05: 50, 2025-06: 50, 2025-07: 40, 2025-08: 30, 2025-09: 30, 2025-10: 30, 2025-11: 30, 2025-12: 30",0.09,1.00
"для кожи автомобиля",30,"2024-12: 20, 2025-01: 30, 2025-02: 30, 2025-03: 20, 2025-04: 30, 2025-05: 30, 2025-06: 20, 2025-07: 30, 2025-08: 30, 2025-09: 30, 2025-10: 20, 2025-11: 20, 2025-12: 30",0.10,1.00
"полироль для наружного пластика автомобиля",30,"2024-12: 10, 2025-01: 50, 2025-02: 30, 2025-03: 50, 2025-04: 40, 2025-05: 40, 2025-06: 30, 2025-07: 30, 2025-08: 20, 2025-09: 20, 2025-10: 10, 2025-11: 20, 2025-12: 30",0.02,1.00
"полироль для наружного пластика авто",30,"2024-12: 10, 2025-01: 50, 2025-02: 30, 2025-03: 50, 2025-04: 40, 2025-05: 40, 2025-06: 30, 2025-07: 30, 2025-08: 20, 2025-09: 20, 2025-10: 10, 2025-11: 20, 2025-12: 30",0.02,1.00
"аппликатор для авто",20,"2024-12: 10, 2025-01: 10, 2025-02: 10, 2025-03: 10, 2025-04: 30, 2025-05: 20, 2025-06: 20, 2025-07: 30, 2025-08: 20, 2025-09: 30, 2025-10: 20, 2025-11: 20, 2025-12: 20",0.00,0.88
"средство от битума",10,"2024-12: 0, 2025-01: 10, 2025-02: 10, 2025-03: 10, 2025-04: 10, 2025-05: 10, 2025-06: 10, 2025-07: 20, 2025-08: 10, 2025-09: 20, 2025-10: 10, 2025-11: 10, 2025-12: 10",0.00,1.00
"микрофибра для стекол авто",0,,0.00,0.00
"наборы автохимии",70,"2024-12: 210, 2025-01: 70, 2025-02: 110, 2025-03: 70, 2025-04: 70, 2025-05: 70, 2025-06: 70, 2025-07: 70, 2025-08: 40, 2025-09: 50, 2025-10: 30, 2025-11: 70, 2025-12: 70",0.11,1.00
"обезжириватель для кузова авто",20,"2024-12: 20, 2025-01: 10, 2025-02: 20, 2025-03: 20, 2025-04: 20, 2025-05: 30, 2025-06: 30, 2025-07: 20, 2025-08: 30, 2025-09: 20, 2025-10: 10, 2025-11: 20, 2025-12: 20",0.00,1.00
"силант для авто",30,"2024-12: 20, 2025-01: 20, 2025-02: 30, 2025-03: 30, 2025-04: 40, 2025-05: 50, 2025-06: 50, 2025-07: 40, 2025-08: 30, 2025-09: 30, 2025-10: 30, 2025-11: 30, 2025-12: 30",0.09,1.00
"химия для шин",0,,0.00,0.00
"средство для кожи",20,"2024-12: 20, 2025-01: 40, 2025-02: 20, 2025-03: 20, 2025-04: 40, 2025-05: 20, 2025-06: 20, 2025-07: 20, 2025-08: 20, 2025-09: 20, 2025-10: 20, 2025-11: 10, 2025-12: 20",0.00,1.00
"химия для стекол автомобиля",0,,0.00,0.00
"тряпка для вытирания авто после мойки",20,"2024-12: 20, 2025-01: 40, 2025-02: 30, 2025-03: 20, 2025-04: 30, 2025-05: 10, 2025-06: 10, 2025-07: 10, 2025-08: 10, 2025-09: 10, 2025-10: 10, 2025-11: 10, 2025-12: 20",0.00,1.00
"ведро для детейлинга",30,"2024-12: 30, 2025-01: 50, 2025-02: 50, 2025-03: 40, 2025-04: 50, 2025-05: 30, 2025-06: 30, 2025-07: 10, 2025-08: 20, 2025-09: 30, 2025-10: 20, 2025-11: 20, 2025-12: 30",0.05,1.00
"аксессуары для детейлинга",10,"2024-12: 10, 2025-01: 10, 2025-02: 0, 2025-03: 10, 2025-04: 20, 2025-05: 10, 2025-06: 10, 2025-07: 10, 2025-08: 10, 2025-09: 10, 2025-10: 10, 2025-11: 10, 2025-12: 10",0.17,1.00
"тряпка для стекол авто",10,"2024-12: 10, 2025-01: 10, 2025-02: 10, 2025-03: 10, 2025-04: 20, 2025-05: 10, 2025-06: 10, 2025-07: 10, 2025-08: 10, 2025-09: 10, 2025-10: 20, 2025-11: 10, 2025-12: 10",0.02,1.00
"тряпка для стекол автомобиля",10,"2024-12: 10, 2025-01: 10, 2025-02: 10, 2025-03: 10, 2025-04: 20, 2025-05: 10, 2025-06: 10, 2025-07: 10, 2025-08: 10, 2025-09: 10, 2025-10: 20, 2025-11: 10, 2025-12: 10",0.02,1.00
"кислотный автошампунь",20,"2024-12: 10, 2025-01: 20, 2025-02: 20, 2025-03: 10, 2025-04: 10, 2025-05: 40, 2025-06: 20, 2025-07: 20, 2025-08: 10, 2025-09: 20, 2025-10: 10, 2025-11: 10, 2025-12: 20",0.04,1.00
"меховой круг для полировки",30,"2024-12: 10, 2025-01: 30, 2025-02: 30, 2025-03: 40, 2025-04: 20, 2025-05: 40, 2025-06: 30, 2025-07: 40, 2025-08: 50, 2025-09: 30, 2025-10: 30, 2025-11: 10, 2025-12: 30",0.00,1.00
"обезжириватель для авто перед полировкой",30,"2024-12: 10, 2025-01: 20, 2025-02: 40, 2025-03: 20, 2025-04: 20, 2025-05: 50, 2025-06: 30, 2025-07: 40, 2025-08: 40, 2025-09: 50, 2025-10: 10, 2025-11: 10, 2025-12: 30",0.00,1.00
"очиститель дисков",260,"2024-12: 170, 2025-01: 260, 2025-02: 140, 2025-03: 480, 2025-04: 390, 2025-05: 320, 2025-06: 260, 2025-07: 210, 2025-08: 170, 2025-09: 210, 2025-10: 170, 2025-11: 170, 2025-12: 260",0.02,1.00
"автохимия для стекол",10,"2024-12: 10, 2025-01: 10, 2025-02: 10, 2025-03: 10, 2025-04: 10, 2025-05: 10, 2025-06: 10, 2025-07: 10, 2025-08: 10, 2025-09: 10, 2025-10: 10, 2025-11: 10, 2025-12: 10",0.05,1.00
"защитное покрытие для дисков",10,"2024-12: 0, 2025-01: 10, 2025-02: 10, 2025-03: 10, 2025-04: 10, 2025-05: 10, 2025-06: 0, 2025-07: 10, 2025-08: 10, 2025-09: 10, 2025-10: 10, 2025-11: 10, 2025-12: 10",0.00,1.00
"оборудование для моек авто",10,"2024-12: 10, 2025-01: 10, 2025-02: 20, 2025-03: 10, 2025-04: 10, 2025-05: 10, 2025-06: 10, 2025-07: 10, 2025-08: 10, 2025-09: 10, 2025-10: 10, 2025-11: 10, 2025-12: 10",0.21,1.00
"оборудование для мойки автомобилей",10,"2024-12: 10, 2025-01: 10, 2025-02: 20, 2025-03: 10, 2025-04: 10, 2025-05: 10, 2025-06: 10, 2025-07: 10, 2025-08: 10, 2025-09: 10, 2025-10: 10, 2025-11: 10, 2025-12: 10",0.21,1.00
"очиститель резины",40,"2024-12: 20, 2025-01: 30, 2025-02: 20, 2025-03: 50, 2025-04: 50, 2025-05: 40, 2025-06: 30, 2025-07: 50, 2025-08: 40, 2025-09: 90, 2025-10: 40, 2025-11: 40, 2025-12: 40",0.07,1.00
"средство для чистки шин",10,"2024-12: 10, 2025-01: 10, 2025-02: 10, 2025-03: 10, 2025-04: 10, 2025-05: 10, 2025-06: 10, 2025-07: 10, 2025-08: 10, 2025-09: 30, 2025-10: 10, 2025-11: 10, 2025-12: 10",0.00,1.00
"автохимия от производителя",10,"2024-12: 10, 2025-01: 10, 2025-02: 0, 2025-03: 10, 2025-04: 0, 2025-05: 0, 2025-06: 0, 2025-07: 0, 2025-08: 0, 2025-09: 0, 2025-10: 0, 2025-11: 0, 2025-12: 10",0.00,0.00
"автохимия производство",10,"2024-12: 10, 2025-01: 0, 2025-02: 0, 2025-03: 10, 2025-04: 0, 2025-05: 0, 2025-06: 0, 2025-07: 10, 2025-08: 10, 2025-09: 10, 2025-10: 0, 2025-11: 10, 2025-12: 10",0.00,0.71
"автохимия поставщики",10,"2024-12: 10, 2025-01: 10, 2025-02: 10, 2025-03: 10, 2025-04: 10, 2025-05: 10, 2025-06: 10, 2025-07: 10, 2025-08: 10, 2025-09: 10, 2025-10: 0, 2025-11: 10, 2025-12: 10",0.00,1.00
"полироль для наружного пластика",10,"2024-12: 10, 2025-01: 0, 2025-02: 10, 2025-03: 10, 2025-04: 10, 2025-05: 10, 2025-06: 10, 2025-07: 10, 2025-08: 10, 2025-09: 10, 2025-10: 10, 2025-11: 10, 2025-12: 10",0.00,1.00
"покрытие для автомобиля",10,"2024-12: 10, 2025-01: 10, 2025-02: 10, 2025-03: 10, 2025-04: 20, 2025-05: 10, 2025-06: 10, 2025-07: 20, 2025-08: 10, 2025-09: 10, 2025-10: 10, 2025-11: 10, 2025-12: 10",0.00,1.00
